default_code;Nom;Catégorie;Fournisseur;Prix fournisseur;Qté Fournisseur;peut être acheté;peut être vendu;Coût;poids;volume;Format;Type d'article;Référence externe;tag
PFHEF0200806;HE LAURIER;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;170;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200807;HE MARJOLAINE A COQUILLE ;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;120,00;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200808;HE MARJOLAINE ;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;120;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200809;HE MENTHE POIVRE;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;47;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200810;HE ROMARIN CAMPHRE;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;78;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200811;HE TEE TREE;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;128;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200812;HE WINTERGREEN;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;69,00;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200813;HE WINTERGREEN BIO;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;69,00;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHEF0200814;HE YLANG YLANG 3;All / Fournisseurs / Matières premières / Exaflor;EXAFLOR;300;;VRAI;;;;;;Article stockable;;Huiles essentielles

;;;;;;;;;;;;;;

PFHVF0203201;HV AVOCAT (FUT);All / Fournisseurs / Matières premières / Expanscience;EXPANSCIENCE;;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFPFF0203301;BB HYPO NAICO;All / Fournisseurs / Matières premières / Expression parfumées;EXPRESSION PARFUMEES;;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0203302;BLEUET;All / Fournisseurs / Matières premières / Expression parfumées;EXPRESSION PARFUMEES;174,68;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0203303;FLEUR CERISIER DU JAPON (28/02/2010);All / Fournisseurs / Matières premières / Expression parfumées;EXPRESSION PARFUMEES;94,18;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0203304;LOTUS BLANC (30/06/2009);All / Fournisseurs / Matières premières / Expression parfumées;EXPRESSION PARFUMEES;95,52;;VRAI;;;;;;Article stockable;;Parfums

PFPFF0203305;NATURA HYPO NTCO;All / Fournisseurs / Matières premières / Expression parfumées;EXPRESSION PARFUMEES;187,7;;VRAI;;;;;;Article stockable;;Parfums

;;;;;;;;;;;;;;

PFHEF0200901;HE THYM;All / Fournisseurs / Matières premières / Flavex;FLAVEX;125;;VRAI;;;;;;Article stockable;;Huiles essentielles

PFHVF0200901;HV NIGELL (CUMIN 02);All / Fournisseurs / Matières premières / Flavex;FLAVEX;;;VRAI;;;;;;Article stockable;;Huiles végétales

PFHVF0200902;BLACK CUMIN C02-TO;All / Fournisseurs / Matières premières / Flavex;FLAVEX;60;;VRAI;;;;;;Article stockable;;Huiles végétales

;;;;;;;;;;;;;;

PFATF0201101;CERAMIDE 2;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;;;VRAI;;;;;;Article stockable;;Autres

PFATF0201102;EMILIUM MELIFERA;All / Fournisseurs / Matières premières / Gattefosse;GATTEFOSSE;25,59;;VRAI;;;;;;Article stockable;;Autres

